id,question,answer,wrong_answers,difficulty,subject
1,Which company did Valve cooperate with in the creation of the Vive?,HTC,"['Oculus', 'Google', 'Razer']",1,General Knowledge
2,What&#039;s the name of Batman&#039;s  parents?,Thomas &amp; Martha,"['Joey &amp; Jackie', 'Jason &amp; Sarah', 'Todd &amp; Mira']",1,General Knowledge
3,What was the name of the WWF professional wrestling tag team made up of the wrestlers Ax and Smash?,Demolition,"['The Dream Team', 'The Bushwhackers', 'The British Bulldogs']",1,General Knowledge
4,What name represents the letter &quot;M&quot; in the NATO phonetic alphabet?,Mike,"['Matthew', 'Mark', 'Max']",1,General Knowledge
5,What is the first book of the Old Testament?,Genesis,"['Exodus', 'Leviticus', 'Numbers']",1,General Knowledge
6,"In the video-game franchise Kingdom Hearts, the main protagonist, carries a weapon with what shape?",Key,"['Sword', 'Pen', 'Cellphone']",1,General Knowledge
7,"Which best selling toy of 1983 caused hysteria, resulting in riots breaking out in stores?",Cabbage Patch Kids,"['Transformers', 'Care Bears', 'Rubik&rsquo;s Cube']",1,General Knowledge
8,"In past times, what would a gentleman keep in his fob pocket?",Watch,"['Money', 'Keys', 'Notebook']",1,General Knowledge
9,How would one say goodbye in Spanish?,Adi&oacute;s,"[' Hola', 'Au Revoir', 'Salir']",1,General Knowledge
10,"On a dartboard, what number is directly opposite No. 1?",19,"['20', '12', '15']",1,General Knowledge
11,What word represents the letter &#039;T&#039; in the NATO phonetic alphabet?,Tango,"['Target', 'Taxi', 'Turkey']",1,General Knowledge
12,Which American president appears on a one dollar bill?,George Washington,"['Thomas Jefferson', 'Abraham Lincoln', 'Benjamin Franklin']",1,General Knowledge
13,What is the name of the Jewish New Year?,Rosh Hashanah,"['Elul', 'New Year', 'Succoss']",1,General Knowledge
14,Which one of the following rhythm games was made by Harmonix?,Rock Band,"['Meat Beat Mania', 'Guitar Hero Live', 'Dance Dance Revolution']",1,General Knowledge
15,"What type of animal was Harambe, who was shot after a child fell into it&#039;s enclosure at the Cincinnati Zoo?",Gorilla,"['Tiger', 'Panda', 'Crocodile']",1,General Knowledge
16,How many colors are there in a rainbow?,7,"['8', '9', '10']",1,General Knowledge
17,Red Vines is a brand of what type of candy?,Licorice,"['Lollipop', 'Chocolate', 'Bubblegum']",1,General Knowledge
18,What is on display in the Madame Tussaud&#039;s museum in London?,Wax sculptures,"['Designer clothing', 'Unreleased film reels', 'Vintage cars']",1,General Knowledge
19,Which of these colours is NOT featured in the logo for Google?,Pink,"['Yellow', 'Blue', 'Green']",1,General Knowledge
20,What is the French word for &quot;hat&quot;?,Chapeau,"['Bonnet', ' &Eacute;charpe', ' Casque']",1,General Knowledge
21,Five dollars is worth how many nickles?,100,"['50', '25', '69']",1,General Knowledge
22,Who is depicted on the US hundred dollar bill?,Benjamin Franklin,"['George Washington', 'Abraham Lincoln', 'Thomas Jefferson']",1,General Knowledge
23,What do the letters in the GMT time zone stand for?,Greenwich Mean Time,"['Global Meridian Time', 'General Median Time', 'Glasgow Man Time']",1,General Knowledge
24,Which American-owned brewery led the country in sales by volume in 2015?,"D. G. Yuengling and Son, Inc","['Anheuser Busch', 'Boston Beer Company', 'Miller Coors']",1,General Knowledge
25,"According to Sherlock Holmes, &quot;If you eliminate the impossible, whatever remains, however improbable, must be the...&quot;",Truth,"['Answer', 'Cause', 'Source']",1,General Knowledge
26,"The New York Times slogan is, &ldquo;All the News That&rsquo;s Fit to&hellip;&rdquo;",Print,"['Digest', 'Look', 'Read']",1,General Knowledge
27,Which restaurant&#039;s mascot is a clown?,McDonald&#039;s,"['Whataburger', 'Burger King', 'Sonic']",1,General Knowledge
28,Which of the following card games revolves around numbers and basic math?,Uno,"['Go Fish', 'Twister', 'Munchkin']",1,General Knowledge
29,What machine element is located in the center of fidget spinners?,Bearings,"['Axles', 'Gears', 'Belts']",1,General Knowledge
30,Which of the following presidents is not on Mount Rushmore?,John F. Kennedy,"['Theodore Roosevelt', 'Abraham Lincoln', 'Thomas Jefferson']",1,General Knowledge
31,This field is sometimes known as &ldquo;The Dismal Science.&rdquo;,Economics,"['Philosophy', 'Politics', 'Physics']",2,General Knowledge
32,Rolex is a company that specializes in what type of product?,Watches,"['Cars', 'Computers', 'Sports equipment']",2,General Knowledge
33,What is a &quot;dakimakura&quot;?,A body pillow,"['A Chinese meal, essentially composed of fish', 'A yoga posture', 'A word used to describe two people who truly love each other']",2,General Knowledge
34,After how many years would you celebrate your crystal anniversary?,15,"['20', '10', '25']",2,General Knowledge
35,Who is a co-founder of music streaming service Spotify?,Daniel Ek,"['Sean Parker', 'Felix Miller', 'Michael Breidenbruecker']",2,General Knowledge
36,What is the unit of currency in Laos?,Kip,"['Ruble', 'Konra', 'Dollar']",2,General Knowledge
37,What alcoholic drink is mainly made from juniper berries?,Gin,"['Vodka', 'Rum', 'Tequila']",2,General Knowledge
38,Which Italian automobile manufacturer gained majority control of U.S. automobile manufacturer Chrysler in 2011?,Fiat,"['Maserati', 'Alfa Romeo', 'Ferrari']",2,General Knowledge
39,What is the name given to Indian food cooked over charcoal in a clay oven?,Tandoori,"['Biryani', 'Pani puri', 'Tiki masala']",2,General Knowledge
40,What is the German word for &quot;spoon&quot;?,L&ouml;ffel,"['Gabel', 'Messer', 'Essst&auml;bchen']",2,General Knowledge
41,What is the romanized Japanese word for &quot;university&quot;?,Daigaku,"['Toshokan', 'Jimusho', 'Shokudou']",2,General Knowledge
42,What is the Swedish word for &quot;window&quot;?,F&ouml;nster,"['H&aring;l', 'Sk&auml;rm', 'Ruta']",2,General Knowledge
43,What is the Italian word for &quot;tomato&quot;?,Pomodoro,"['Aglio', 'Cipolla', 'Peperoncino']",2,General Knowledge
44,"What country saw a world record 315 million voters turn out for elections on May 20, 1991?",India,"['United States of America', 'Soviet Union', 'Poland']",2,General Knowledge
45,The term &quot;scientist&quot; was coined in which year?,1833,"['1933', '1942', '1796']",2,General Knowledge
46,"According to the United States&#039; CDC, one in how many Americans die annually due to smoking?",Five,"['Twenty', 'Ten', 'One hundred']",2,General Knowledge
47,What is a dead mall?,A mall with high vacancy rates or low consumer foot traffic,"['A mall with no stores', 'A mall that has been condemed', 'A mall after business hours']",2,General Knowledge
48,What character was once considered to be the 27th letter of the alphabet?,Ampersand,"['Interrobang', 'Tilde', 'Pilcrow']",2,General Knowledge
49,"The new One World Trade Center in Manhattan, New York City was designed by which architect? ",David Childs,"['Bjarke Ingels', 'Michael Arad', 'Fumihiko Maki']",2,General Knowledge
50,Which of the following carbonated soft drinks were introduced first?,Dr. Pepper,"['Coca-Cola', 'Sprite', 'Mountain Dew']",2,General Knowledge
51,What year was Apple Inc. founded?,1976,"['1978', '1980', '1974']",2,General Knowledge
52,What was Mountain Dew&#039;s original slogan?,Yahoo! Mountain Dew... It&#039;ll tickle your innards!,"['Give Me A Dew', 'Do The Dew', 'Get&#039; that barefoot feelin&#039; drinkin&#039; Mountain Dew']",2,General Knowledge
53,Which iconic Disneyland attraction was closed in 2017 to be remodeled as a &quot;Guardians of the Galaxy&quot; themed ride?,Twilight Zone Tower of Terror,"['The Haunted Mansion', 'Pirates of the Caribbean', 'Peter Pan&#039;s Flight']",2,General Knowledge
54,What is the Portuguese word for &quot;Brazil&quot;?,Brasil,"['Brazil', 'Brasilia', 'Bras&iacute;l']",2,General Knowledge
55,Where does water from Poland Spring water bottles come from?,"Maine, United States","['Hesse, Germany', 'Masovia, Poland', 'Bavaria, Poland']",2,General Knowledge
56,What is a Burgee?,A flag,"['A rope', 'A window', 'A type of food']",2,General Knowledge
57,Who invented Pastafarianism?,Bobby Henderson,"['Eric Tignor', 'Bill Nye', 'Zach Soldi']",2,General Knowledge
58,"In a 1994 CBS interview, Microsoft co-founder Bill Gates performed what unusual trick on camera?",Jumping over an office chair,"['Jumping backwards over a desk', 'Standing on his head', 'Typing on a keyboard during a handstand']",2,General Knowledge
59,Earl Grey tea is black tea flavoured with what?,Bergamot oil,"['Lavender', 'Vanilla', 'Honey']",2,General Knowledge
60,The website &quot;Shut Up &amp; Sit Down&quot; reviews which form of media?,Board Games,"['Television Shows', 'Video Games', 'Films']",2,General Knowledge
61,Electronic music producer Kygo&#039;s popularity skyrocketed after a certain remix. Which song did he remix?,Ed Sheeran - I See Fire,"['Marvin Gaye - Sexual Healing', 'Coldplay - Midnight', 'a-ha - Take On Me']",3,General Knowledge
62,"What type of dog is &#039;Handsome Dan&#039;, the mascot of Yale University?",Bulldog,"['Yorkshire Terrier', 'Boxer', 'Pug']",3,General Knowledge
63,What is the airspeed velocity of an unladen swallow?,24 MPH,"['15 MPH', '20 MPH', '200 MPH']",3,General Knowledge
64,The words &quot;bungalow&quot; and &quot;shampoo&quot; originate from the languages of which country?,India,"['Papua New Guinea', 'Ethiopia', 'China']",3,General Knowledge
65,When was &quot;YouTube&quot; founded?,"February 14, 2005","['May 22, 2004', 'September 12, 2005', 'July 19, 2009']",3,General Knowledge
66,"Before the 19th Century, the &quot;Living Room&quot; was originally called the...",Parlor,"['Open Room', 'Sitting Room', 'Loft']",3,General Knowledge
67,What year was Queen Elizabeth II born?,1926,"['1923', '1929', '1930']",3,General Knowledge
68,Which film star has his statue in Leicester Square?,Charlie Chaplin,"['Paul Newman', 'Rowan Atkinson ', 'Alfred Hitchcock']",3,General Knowledge
69,Which of the following chemicals are found in eggplant seeds?,Nicotine,"['Mescaline', 'Cyanide', 'Psilocybin']",3,General Knowledge
70,Sciophobia is the fear of what?,Shadows,"['Eating', 'Bright lights', 'Transportation']",3,General Knowledge
71,Which of the following is an existing family in &quot;The Sims&quot;?,The Goth Family,"['The Family', 'The Simoleon Family', 'The Proud Family']",3,General Knowledge
72,Which of these banks are NOT authorized to issue currency notes in Hong Kong?,OCBC,"['HSBC', 'Standard Chartered', 'Bank of China']",3,General Knowledge
73,What is the romanized Chinese word for &quot;airplane&quot;?,Feiji,"['Qiche', 'Zongxian', 'Huojian']",3,General Knowledge
74,What is the romanized Korean word for &quot;heart&quot;?,Simjang,"['Aejeong', 'Jeongsin', 'Segseu']",3,General Knowledge
75,Which musician has collaborated with American producer Porter Robinson and released the 2016 song &quot;Shelter&quot;?,Madeon,"['Mat Zo', 'deadmau5', 'Zedd']",3,General Knowledge
76,The Swedish word &quot;Grunka&quot; means what in English?,Thing,"['People', 'Place', 'Pineapple']",3,General Knowledge
77,Disney&#039;s Haunted Mansion is home to a trio of Hitchhiking Ghosts. Which of these is NOT one of them?,Harry,"['Gus', 'Phineas', 'Ezra']",3,General Knowledge
78,How long did it take the motorized window washers of the original World Trade Center to clean the entire exterior of the building?,1 Month,"['3 Weeks', '1 Week', '2 Months']",3,General Knowledge
79,Which of the following languages does NOT use gender as a part of its grammar?,Turkish,"['German', 'Danish', 'Polish']",3,General Knowledge
80,Which one of these Swedish companies was founded in 1943?,IKEA,"['H &amp; M', 'Lindex', 'Clas Ohlson']",3,General Knowledge
81,How many calories are in a 355 ml can of Pepsi Cola?,150,"['200', '100', '155']",3,General Knowledge
82,What year was the RoboSapien toy robot released?,2004,"['2000', '2001', '2006']",3,General Knowledge
83,"According to Fair Works Australia, how long do you have to work to get Long Service Leave?",7 years,"['2 years', '8 years', '6 months']",3,General Knowledge
84,"According to the 2014-2015 Australian Bureau of Statistics, what percentage of Australians were born overseas?",28%,"['13%', '20%', '7%']",3,General Knowledge
85,What was Bank of America originally established as?,Bank of Italy,"['Bank of Long Island', 'Bank of Pennsylvania', 'Bank of Charlotte']",3,General Knowledge
86,"What does the Latin phrase &quot;Veni, vidi, vici&quot; translate into English?","I came, I saw, I conquered","['See no evil, hear no evil, speak no evil', 'Life, liberty, and happiness', 'Past, present, and future']",3,General Knowledge
87,Virtual reality company Oculus VR lost which of it&#039;s co-founders in a freak car accident in 2013?,Andrew Scott Reisse,"['Nate Mitchell', 'Jack McCauley', 'Palmer Luckey']",3,General Knowledge
88,Who founded the Khan Academy?,Sal Khan,"['Ben Khan', 'Kitt Khan', 'Adel Khan']",3,General Knowledge
89,"In flight systems, what does the initialism &quot;TCAS&quot; stand for?",Traffic Collision Avoidance System,"['Traffic Communication Alert System', 'Traffic Configuration Alignment System', 'Traffic Call-sign Abbreviation System']",3,General Knowledge
90,"If someone said &quot;you are olid&quot;, what would they mean?",You smell extremely unpleasant.,"['You are out of shape/weak.', 'Your appearance is repulsive.', 'You are incomprehensible/an idiot.']",3,General Knowledge
91,Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,"['Gold', 'Juno', 'Sword']",1,History
92,What was William Frederick Cody better known as?,Buffalo Bill,"['Billy the Kid', 'Wild Bill Hickok', 'Pawnee Bill']",1,History
93,Who discovered Penicillin?,Alexander Flemming,"['Marie Curie', 'Alfred Nobel', 'Louis Pasteur']",1,History
94,How many manned moon landings have there been?,6,"['1', '3', '7']",1,History
95,The idea of Socialism was articulated and advanced by whom?,Karl Marx,"['Vladimir Lenin', 'Joseph Stalin', 'Vladimir Putin']",1,History
96,In what year did the Wall Street Crash take place?,1929,"['1932', '1930', '1925']",1,History
97,"During WWII, in 1945, the United States dropped atomic bombs on the two Japanese cities of Hiroshima and what other city?",Nagasaki,"['Kawasaki', 'Tokyo', 'Kagoshima']",1,History
98,Which of the following African countries was most successful in resisting colonization?,Ethiopia,"['C&ocirc;te d&rsquo;Ivoire', 'Congo', 'Namibia']",1,History
99,Which of the following ancient peoples was NOT classified as Hellenic (Greek)?,Illyrians,"['Dorians', 'Achaeans', 'Ionians']",1,History
100,"Which famous world leader is famed for the saying, &quot;Let them eat cake&quot;, yet is rumored that he/she never said it at all?",Marie Antoinette,"['Czar Nicholas II', 'Elizabeth I', 'Henry VIII']",1,History
101,The original Roman alphabet lacked the following letters EXCEPT:,X,"['W', 'U', 'J']",1,History
102,Which of these countries remained neutral during World War II?,Switzerland,"['United Kingdom', 'France', 'Italy']",1,History
103,The collapse of the Soviet Union took place in which year?,1991,"['1992', '1891', '1990']",1,History
104,What was Manfred von Richthofen&#039;s nickname?,The Red Baron,"['The High Flying Ace', 'The Blue Serpent ', 'The Germany Gunner']",1,History
105,In which year did the Invasion of Kuwait by Iraq occur?,1990,"['1992', '1988', '1986']",1,History
106,When did the Battle of the Somme begin?,"July 1st, 1916","['August 1st, 1916', 'July 2nd, 1916', 'June 30th, 1916']",1,History
107,Who was the first president of the United States?,George Washington,"['James Madison', 'Thomas Jefferson', 'James K. Polk']",1,History
108,"In 1720, England was in massive debt, and became in involved in the South Sea Bubble. Who was the main mastermind behind it?",John Blunt,"['Daniel Defoe', 'Robert Harley', 'John Churchill']",1,History
109,When was Google founded?,"September 4, 1998","['October 9, 1997', 'December 12, 1989', 'Feburary 7th, 2000']",1,History
110,Who was the Prime Minister of Japan when Japan declared war on the US?,Hideki Tojo,"['Michinomiya Hirohito', 'Isoroku Yamamoto', 'Fumimaro Konoe']",1,History
111,What was the first sport to have been played on the moon?,Golf,"['Football', 'Tennis', 'Soccer']",1,History
112,Who was the first prime minister of Canada?,John Macdonald,"['John Abbott', 'Alexander Mackenzie', 'Robert Borden']",1,History
113,How was Socrates executed?,Poison,"['Decapitation', 'Firing squad', 'Crucifixion ']",1,History
114,How long did World War II last?,6 years,"['4 years', '5 years', '7 years']",1,History
115,Which of the following countries was not an axis power during World War II?, Soviet Union,"['Italy', 'Germany', 'Japan']",1,History
116,"In 1939, Britain and France declared war on Germany after it invaded which country?",Poland,"['Czechoslovakia', 'Austria', 'Hungary']",1,History
117,"Who was among those killed in the 2010 Smolensk, Russia plane crash tragedy?",The Polish President,"['Pope John Paul II', 'Bang-Ding Ow', 'Albert Putin']",1,History
118,To what political party did Abraham Lincoln belong when elected POTUS?,Republican,"['Democrat', 'Independent', 'Whig']",1,History
119,These two countries held a commonwealth from the 16th to 18th century.,Poland and Lithuania,"['Hutu and Rwanda', 'North Korea and South Korea', 'Bangladesh and Bhutan']",1,History
120,How old was Adolf Hitler when he died?,56,"['43', '65', '47']",1,History
121,In what year did Neil Armstrong and Buzz Aldrin land on the moon?,1969,"['1965', '1966', '1973']",2,History
122," What Russian automatic gas-operated assault rifle was developed in the Soviet Union in 1947, and is still popularly used today?",AK-47,"['RPK', 'M16', 'MG 42']",2,History
123,America&#039;s Strategic Defense System during the Cold War was nicknamed after this famous movie.,Star Wars,"['Jaws', 'Blade Runner', 'Alien']",2,History
124,"The Tsar Bomba, the most powerful nuclear bomb ever tested, had a yield of 50 megatons but theoretically had a maximum yield of how much?",100 Megatons,"['200 Megatons', '75 Megatons', '150 Megatons']",2,History
125,What was the capital of South Vietnam before the Vietnam War?,Saigon,"['Ho Chi Minh City', 'Hanoi', 'Hue']",2,History
126,Who was the first explorer to sail to North America?,Leif Erikson,"['Christopher Columbus', 'Amerigo Vespucci', 'Ferdinand Magellan']",2,History
127,Which of his six wives was Henry VIII married to the longest?,Catherine of Aragon,"['Anne Boleyn', 'Jane Seymour', 'Catherine Parr']",2,History
128,Which country had an &quot;Orange Revolution&quot; between 2004 and 2005?,Ukraine,"['Belarus', 'Latvia', 'Lithuania']",2,History
129,The Herero genocide was perpetrated in Africa by which of the following colonial nations?,Germany,"['Britain', 'Belgium', 'France']",2,History
130,Which of the following battles is often considered as marking the beginning of the fall of the Western Roman Empire?,Battle of Adrianople,"['Battle of Thessalonica', 'Battle of Pollentia', 'Battle of Constantinople']",2,History
131,"One of the deadliest pandemics, the &quot;Spanish Flu&quot;, killed off what percentage of the human world population at the time?",3 to 6 percent,"['6 to 10 percent', '1 to 3 percent', 'less than 1 percent']",2,History
132,Which of the following Assyrian kings did NOT rule during the Neo-Assyrian Empire?,Shamshi-Adad III,"['Shalmaneser V', 'Esharhaddon', 'Ashur-nasir-pal II']",2,History
